iteration,log_loss,roc_auc,brier_score,accuracy,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap
74,0.6697679930639397,0.6165303666592992,0.2384911980897809,0.6051202482544609,1200,50,10,0.3,5.0,entropy,balanced,True
63,0.669836088155115,0.6113509663793315,0.2384164456517146,0.5989138867339022,300,5,5,log2,10.0,gini,balanced,True
26,0.6698594632409103,0.6156339792234584,0.2385389890302001,0.5989138867339022,200,2,2,sqrt,5.0,entropy,balanced_subsample,True
17,0.6703586327368992,0.6116260222500551,0.23865614828995008,0.6027928626842514,1200,20,1,0.5,8.0,entropy,balanced_subsample,True
60,0.6704086842996781,0.615629067511481,0.23864578948565235,0.5965865011636928,300,10,20,sqrt,,entropy,balanced_subsample,True
11,0.6704697163603766,0.6121540312876053,0.23881309886085764,0.6020170674941815,300,50,1,0.7,6.0,entropy,balanced_subsample,True
96,0.6705740684896134,0.607942238267148,0.23857257332647183,0.6020170674941815,300,2,5,sqrt,15.0,log_loss,balanced,True
10,0.6706623720472508,0.6138313809278224,0.2389107510073358,0.595810705973623,200,20,40,0.5,8.0,entropy,balanced,True
39,0.6707204905397179,0.6163486333161423,0.2389360665004033,0.5973622963537626,1200,20,1,log2,4.0,log_loss,balanced_subsample,True
76,0.6707971843117374,0.6160809450133844,0.23897423581022562,0.5973622963537626,1200,20,10,log2,4.0,entropy,balanced,True
70,0.6708999838110087,0.6140364449028709,0.2390309818650519,0.595810705973623,200,20,20,log2,4.0,log_loss,balanced_subsample,True
67,0.6709208670032508,0.6133979223458337,0.23901139183440986,0.595810705973623,300,20,10,0.7,3.0,gini,balanced_subsample,True
43,0.6711805915101059,0.6113509663793315,0.23906370374167785,0.5996896819239721,800,50,2,0.7,8.0,entropy,balanced_subsample,True
95,0.6712195767982503,0.6105847393108867,0.23916537242518807,0.5965865011636928,200,5,1,0.7,3.0,entropy,balanced_subsample,True
12,0.671226192335815,0.6137049043444093,0.23918983774543168,0.5903801396431342,200,50,1,sqrt,4.0,entropy,balanced_subsample,True
16,0.6712581285126071,0.6140966133745916,0.23920594863660707,0.5934833204034135,200,2,40,sqrt,4.0,entropy,balanced_subsample,True
65,0.6713082903693551,0.6077850634838773,0.23920502926530857,0.5919317300232738,500,50,2,,6.0,entropy,balanced,True
61,0.6714945524110421,0.6063680345784523,0.2393179848069998,0.5841737781225756,500,50,40,,4.0,entropy,balanced_subsample,True
87,0.6715215170917421,0.6074879049092561,0.23930430577947864,0.5880527540729248,1200,2,5,,5.0,entropy,balanced,True
