subset_size,cardio_feature_count,log_loss,roc_auc,brier_score,accuracy,delta_log_loss_vs_previous_best,delta_log_loss_vs_full_cardio,cardio_features
2,2,0.653312680203853,0.6342069739143661,0.23097481327294098,0.6079295154185022,7.411093198295138e-05,-0.0008517435391430794,"diff_decision_rate, diff_five_round_experience"
3,3,0.6533260018140535,0.6348090475828326,0.2309833545848272,0.6070484581497797,6.0789321782439565e-05,-0.0008650651493435912,"diff_avg_fight_duration_seconds, pre_fight_blue_late_finish_rate, diff_five_round_experience"
4,4,0.653330163636764,0.6340326894313889,0.23098593073337387,0.6088105726872247,5.6627499071981724e-05,-0.0008692269720540491,"diff_avg_fight_duration_seconds, diff_decision_rate, pre_fight_blue_late_finish_rate, diff_five_round_experience"
4,4,0.6533491083559324,0.6372205110654803,0.23097467807243624,0.6096916299559472,3.7682779903569497e-05,-0.0008881716912224613,"pre_fight_red_late_finish_rate, pre_fight_blue_late_finish_rate, diff_five_round_experience, diff_five_round_fights_completed"
3,3,0.6533648616996934,0.6370018632595635,0.23098464534762295,0.6114537444933921,2.1929436142542613e-05,-0.0009039250349834882,"pre_fight_red_late_finish_rate, diff_five_round_experience, diff_five_round_fights_completed"
3,3,0.6533757323538042,0.6367515273658326,0.2309834617392053,0.6088105726872247,1.10587820317809e-05,-0.0009147956890942499,"pre_fight_red_late_finish_rate, pre_fight_blue_late_finish_rate, diff_five_round_fights_completed"
3,3,0.6533866844660464,0.6338774178011002,0.23101595450230955,0.6096916299559472,1.0666978955686801e-07,-0.0009257478013364739,"diff_avg_fight_duration_seconds, diff_decision_rate, diff_five_round_experience"
2,2,0.6533877647392968,0.6364409841052552,0.23099214608136726,0.6158590308370044,-9.736034608520683e-07,-0.0009268280745868829,"pre_fight_red_late_finish_rate, diff_five_round_fights_completed"
2,2,0.6534448570995934,0.634568218115446,0.2310457824321261,0.6123348017621145,-5.806596375745876e-05,-0.0009839204348834896,"diff_avg_fight_duration_seconds, diff_five_round_experience"
3,3,0.6534549533876601,0.6352590184297919,0.23102349661898927,0.6123348017621145,-6.816225182415536e-05,-0.0009940167229501862,"diff_third_round_or_later_rate, diff_five_round_experience, diff_five_round_fights_completed"
2,2,0.653511361386987,0.6351417725048799,0.23104513931302706,0.6105726872246696,-0.00012457025115097942,-0.0010504247222770102,"diff_third_round_or_later_rate, diff_five_round_fights_completed"
2,2,0.6535252534775201,0.6341435977387381,0.2310919990616009,0.6096916299559472,-0.0001384623416841313,-0.001064316812810162,"pre_fight_blue_late_finish_rate, diff_five_round_experience"
4,4,0.6535894834701078,0.6347361649808604,0.2310905373158875,0.6088105726872247,-0.00020269233427183675,-0.0011285468053978676,"diff_decision_rate, diff_third_round_or_later_rate, diff_five_round_experience, diff_five_round_fights_completed"
3,3,0.6536377753853252,0.6343273886480594,0.23110737151845337,0.6114537444933921,-0.0002509842494892167,-0.0011768387206152475,"diff_decision_rate, diff_third_round_or_later_rate, diff_five_round_fights_completed"
4,4,0.6537764714149545,0.6342164803407103,0.2311872129958406,0.6088105726872247,-0.00038968027911856495,-0.0013155347502445958,"diff_decision_rate, pre_fight_blue_late_finish_rate, diff_five_round_experience, diff_five_round_fights_completed"
3,3,0.6537800197315773,0.6339281187416027,0.23118747238003007,0.6061674008810573,-0.00039322859574131286,-0.0013190830668673437,"diff_decision_rate, diff_five_round_experience, diff_five_round_fights_completed"
4,4,0.6537979044918033,0.6336270819073694,0.23119964176230506,0.6079295154185022,-0.0004111133559673297,-0.0013369678270933605,"diff_avg_fight_duration_seconds, diff_decision_rate, diff_five_round_experience, diff_five_round_fights_completed"
4,4,0.6538016687638551,0.6345935685856974,0.2311976836957022,0.6079295154185022,-0.0004148776280191724,-0.0013407320991452032,"diff_avg_fight_duration_seconds, pre_fight_blue_late_finish_rate, diff_five_round_experience, diff_five_round_fights_completed"
4,4,0.653840284358431,0.633852067330849,0.23121111845439904,0.6088105726872247,-0.000453493222595025,-0.0013793476937210558,"diff_avg_fight_duration_seconds, diff_decision_rate, pre_fight_blue_late_finish_rate, diff_five_round_fights_completed"
3,3,0.653845209131462,0.6337379902147184,0.23121439779020142,0.6105726872246696,-0.00045841799562607033,-0.0013842724667521011,"diff_decision_rate, pre_fight_blue_late_finish_rate, diff_five_round_fights_completed"
2,2,0.6538458376399285,0.6337316525971556,0.23121308933847506,0.6088105726872247,-0.000459046504092564,-0.0013849009752185948,"diff_decision_rate, diff_five_round_fights_completed"
3,3,0.6538652377245845,0.6331929551043172,0.23122680518905397,0.6096916299559472,-0.00047844658874851564,-0.0014043010598745465,"diff_avg_fight_duration_seconds, diff_decision_rate, diff_five_round_fights_completed"
3,3,0.6538681912395878,0.6342006362968033,0.23122347396960752,0.6079295154185022,-0.00048140010375186115,-0.001407254574877892,"diff_avg_fight_duration_seconds, pre_fight_blue_late_finish_rate, diff_five_round_fights_completed"
3,3,0.6539108063423429,0.634276687707557,0.23125443152366282,0.6088105726872247,-0.0005240152065069115,-0.0014498696776329423,"diff_avg_fight_duration_seconds, diff_five_round_experience, diff_five_round_fights_completed"
2,2,0.6539714040976761,0.633931287550384,0.23127831393061718,0.6123348017621145,-0.0005846129618400919,-0.0015104674329661227,"diff_avg_fight_duration_seconds, diff_five_round_fights_completed"
3,3,0.6539851857742722,0.6340675463279843,0.2312997806410156,0.6070484581497797,-0.0005983946384362504,-0.0015242491095622812,"pre_fight_blue_late_finish_rate, diff_five_round_experience, diff_five_round_fights_completed"
2,2,0.6540446541167412,0.6335478616878343,0.2313243284135568,0.6088105726872247,-0.0006578629809051995,-0.0015837174520312303,"pre_fight_blue_late_finish_rate, diff_five_round_fights_completed"
2,2,0.6540592780181995,0.633639757142495,0.23133722945954055,0.6070484581497797,-0.0006724868823635433,-0.001598341353489574,"diff_five_round_experience, diff_five_round_fights_completed"
